"","playlist_name","track_name","track_uri","artist_name","album_name","instrumentalness","acousticness","liveness","speechiness","energy","danceability","valence"
"1","Official Inauguration Playlist","Signed, Sealed, Delivered (I'm Yours)","2jg4Yc8071puvDRYi22B3a","Stevie Wonder","Number 1's",0,0.00495,0.061,0.0334,0.784,0.646,0.819
"2","Official Inauguration Playlist","I Was Here","3RKDC2Fv4RP97s45xcNveP","Beyonce","4",0,0.431,0.0927,0.0336,0.627,0.51,0.234
"3","Official Inauguration Playlist","Mi Gente","5pDrmvdSfxtNNi2rfoqEUJ","Marc Anthony","Marc Anthony ""El Cantante"" OST",4.85e-05,0.369,0.341,0.0463,0.849,0.505,0.961
"4","Official Inauguration Playlist","Carry On","7gpy7sfWPNuOKmUNs3XQYE","fun.","Some Nights (Spotify Exclusive)",0.000293,0.118,0.082,0.0735,0.694,0.388,0.365
"5","Official Inauguration Playlist","New Day","2rMreweJkDadtWMOEv1w67","Alicia Keys","Girl On Fire",0.000109,0.0166,0.122,0.236,0.81,0.495,0.422
"6","Official Inauguration Playlist","Mud On the Tires","2rQyI7A1yTvTXJ9J4qFmmN","Brad Paisley","Hits Alive",3.81e-05,0.294,0.662,0.0478,0.824,0.448,0.463
"7","Official Inauguration Playlist","Turn Up The Love","2R0eIBJGHpiv1nKbSzW4zq","Far East Movement","Dirty Bass",0,0.176,0.204,0.131,0.883,0.752,0.695
"8","Official Inauguration Playlist","Edge Of Glory (Glee Cast Version)","3XBrJwCHsTYd2m95E85xRh","Glee Cast","Glee: The Music, The Graduation Album",3.56e-06,0.000363,0.0819,0.0369,0.699,0.554,0.214
"9","Official Inauguration Playlist","Your Smiling Face","2KtWHutIK9LTXxdv5Pz9no","James Taylor","Greatest Hits Volume 2",4.89e-06,0.165,0.12,0.0427,0.592,0.677,0.829
"10","Official Inauguration Playlist","Ordinary People","58CrldAc1Z5WIBozT1NMJH","John Legend","Get Lifted",0,0.929,0.0873,0.0807,0.132,0.469,0.36
"11","Official Inauguration Playlist","Firework","4lCv7b86sLynZbXhfScfm2","Katy Perry","Katy Perry - Teenage Dream: The Complete Confection",0,0.139,0.0803,0.0479,0.826,0.638,0.649
"12","Official Inauguration Playlist","Breakaway","61Qhe2mHSLhUE04QeK4lkD","Kelly Clarkson","Breakaway",8.89e-06,0.0298,0.0931,0.0295,0.701,0.446,0.394
"13","Official Inauguration Playlist","My Mic","5EpjbM1EXEozHdYLcvkOGr","Nick Cannon","Nick Cannon",0.111,0.00149,0.13,0.211,0.838,0.88,0.794
"14","Official Inauguration Playlist","Something Special","2MmFydaQFS4QeR8xJ2aEhj","Usher","Here I Stand",0,0.445,0.109,0.301,0.543,0.818,0.548
"15","Official Inauguration Playlist","Get Ready","1sE0Q1CzFnhQnfToMqOkFa","Smokey Robinson","Motown Legends: I Second That Emotion",0,0.492,0.286,0.0485,0.55,0.705,0.967
"16","Official Inauguration Playlist","Future","5F3inqOUMtTl6lW1MDGxwY","Mindless Behavior","#1 Girl",0,0.188,0.161,0.154,0.752,0.598,0.627
"17","Official Inauguration Playlist","Feeling Good","4B2rFsWoytT7E7hXv3yNql","Jennifer Hudson","I Remember Me",0,0.0602,0.273,0.0811,0.645,0.398,0.264
"18","Official Inauguration Playlist","Live to Rise","5qy1QAKFVfAqYbgp46RSSv","Soundgarden","Avengers Assemble",0.00488,0.00129,0.88,0.038,0.753,0.458,0.231
"19","Official Inauguration Playlist","Bendita Tu Luz","2JBs412fpVUuzIaIp3CyIs","Mana","Amar es Combatir",3.7e-06,0.143,0.107,0.0289,0.782,0.791,0.635
"20","Official Inauguration Playlist","Fly Love","7Ld6hA2qsLEXPn39FfuHwb","Jamie Foxx","Rio: Music From The Motion Picture",8.11e-05,0.818,0.0877,0.0349,0.3,0.618,0.319
"21","Michelle's Workout Mix","Tightrope","5oeT9WBOEIgnnggVerhdCb","Janelle Monae","Tightrope",0.00304,0.032,0.128,0.0756,0.68,0.62,0.654
"22","Michelle's Workout Mix","Love Song","4E6cwWJWZw2zWf7VFbH7wf","Sara Bareilles","Little Voice",0,0.0208,0.188,0.0301,0.786,0.583,0.573
"23","Michelle's Workout Mix","Unbreakable","5L9anTQJGLyRObYDYvLWdh","Michael Jackson","Invincible",0.0933,0.0314,0.0665,0.144,0.824,0.798,0.851
"24","Michelle's Workout Mix","Treat 'Em Right","2QHmGfplU3ypWOGgJM46in","Chubb Rock","The One",7.48e-05,0.0362,0.204,0.227,0.54,0.932,0.57
"25","Michelle's Workout Mix","Thank You","4LLo2JW0Rd8I4NGIkWyxFW","Ledisi","It's Christmas",2.74e-05,0.0248,0.181,0.0415,0.623,0.822,0.825
"26","Michelle's Workout Mix","Get Right","4HMWePYbh4eSjcMr5Aezgl","Jennifer Lopez","Rebirth",0,0.0218,0.628,0.12,0.759,0.741,0.362
"27","Michelle's Workout Mix","Whip My Hair","2LXyM3mXlRPIJwqyIoFh6n","Willow Smith","Whip My Hair",0.00759,0.00152,0.447,0.285,0.981,0.543,0.671
"28","Supporter Picks","Born in the U.S.A.","0dOg1ySSI7NkpAe89Zo0b9","Bruce Springsteen","Born In The U.S.A.",7.75e-05,0.000373,0.1,0.061,0.952,0.398,0.584
"29","Supporter Picks","On Main Street","1asEV2dR2alYDkU6WE3Xq2","Los Lobos","Tin Can Trust",0.00202,0.257,0.404,0.0301,0.546,0.445,0.557
"30","Supporter Picks","At Last","1hXIdXjAI4nWz4qnJ28iO2","Etta James","At Last The Very Best Of",0.00102,0.642,0.275,0.0319,0.29,0.137,0.289
"31","Supporter Picks","Energy","0XZwpwtV9Vk48Ykzb7KIsj","The Apples In Stereo","New Magnetic Wonder",2.84e-05,0.0705,0.439,0.0861,0.867,0.292,0.637
"32","Supporter Picks","Wake up Everybody","7lVxWMH0C3Bj8b8JLkh9EN","John Legend","Wake Up!",0,0.536,0.298,0.0522,0.467,0.638,0.657
"33","Supporter Picks","Move On Up","1XpCBJ6WjYbkAaBu8Jni2F","Curtis Mayfield","Future Shock",0.519,0.703,0.154,0.0448,0.756,0.51,0.964
"34","Supporter Picks","You Can","2f1LrPKfNgbLagZzmrofTg","Lisa McClendon","Live From The House Of Blues",0,0.519,0.24,0.155,0.789,0.468,0.608
"35","Supporter Picks","I Won't Back Down","2oBoGj6WvCA3dUcpJ4L9Pb","Tom Petty and the Heartbreakers","Anthology: Through The Years",4.34e-06,0.0714,0.232,0.0285,0.763,0.763,0.941
"36","Supporter Picks","La Copa de la Vida (La Cancion Oficial de la Copa Mundial, Francia '98) - Spanglish Radio Edit","0KnZ3Fgnqjmz4Sl2OA5zwa","Ricky Martin","Ricky Martin",3.21e-05,0.0276,0.626,0.0481,0.938,0.713,0.706
"37","Supporter Picks","Suddenly I See","5p9XWUdvbUzmPCukOmwoU3","KT Tunstall","Eye To The Telescope",0,0.233,0.108,0.0438,0.764,0.582,0.653
"38","Supporter Picks","Respect","3ZK6Jl7vCQ2vAB37aLJCQF","Aretha Franklin","Rhino Hi-Five: Various Artists: Mother's Day Songs",2.3e-05,0.479,0.328,0.0462,0.496,0.821,0.955
"39","Supporter Picks","Don't Stop Believin'","77NNZQSqzLNqh2A9JhLRkg","Journey","The Essential Journey",0,0.25,0.387,0.0392,0.802,0.491,0.472
"40","Supporter Picks","That's Good","0rVbLdk2mZf0w90Xh69mjC","DEVO","Oh No! It's Devo",0.51,0.242,0.112,0.0503,0.623,0.795,0.683
"41","Supporter Picks","SING","1mX6SYJ1ZpcoxQUiER8wOI","My Chemical Romance","Danger Days: The True Lives Of The Fabulous Killjoys",7.07e-06,0.000233,0.106,0.0357,0.942,0.606,0.373
"42","Supporter Picks","Block After Block","6BWjKQvRZdx46jgr8ifS1n","Matt and Kim","Sidewalks",0,0.00115,0.295,0.036,0.841,0.686,0.51
"43","Supporter Picks","Proud Mary","3dLg6cqxvKQl2E6lnD62ZT","Tina Turner","Tina!",1.55e-06,0.0766,0.111,0.0685,0.499,0.397,0.367
"44","Supporter Picks","Wake Up","2uljPrNySotVP1d42B30X2","Arcade Fire","Funeral",0.0363,0.134,0.0945,0.0362,0.801,0.258,0.273
"45","2012 Campaign Playlist","Keep Marchin'","0XS9TxBzCoADVJ7fYYbyZi","Raphael Saadiq","The Way I See It",0.00224,0.00128,0.196,0.0937,0.815,0.755,0.593
"46","2012 Campaign Playlist","Tonight's The Kind Of Night","1UFnmge9gtAcrWICSptE9e","Noah And The Whale","Last Night On Earth",0.00328,0.0119,0.146,0.0312,0.844,0.64,0.313
"47","2012 Campaign Playlist","We Take Care Of Our Own","7MybLKu8ni9uOaWmSTCoDk","Bruce Springsteen","We Take Care Of Our Own",0.105,0.000202,0.281,0.0411,0.873,0.611,0.765
"48","2012 Campaign Playlist","Keep Me In Mind","7zNM46fo01dCBidY4yGNTZ","Zac Brown Band","You Get What You Give (Deluxe)",0,0.159,0.181,0.0336,0.715,0.684,0.563
"49","2012 Campaign Playlist","The Weight","251N8qsKEyCXUlCupCFizw","Aretha Franklin","Aretha Franklin",3.45e-05,0.418,0.0617,0.176,0.754,0.492,0.773
"50","2012 Campaign Playlist","Sweet Home Chicago","4zuEgBKpvu2KqQrmt0MyRB","Blues Brothers","The Blues Brothers",0.123,0.00214,0.149,0.0386,0.857,0.578,0.59
"51","2012 Campaign Playlist","Even Better Than The Real Thing","4bK2vKMdkS0rNhbzRqAZe0","U2","Achtung Baby",0.000278,0.00127,0.176,0.0307,0.761,0.507,0.617
"52","2012 Campaign Playlist","The Best Thing About Me Is You","0Fv5GIHRVoKbqpFgjSk19T","Ricky Martin","M<U+00E1>s M<U+00FA>sica + Alma + Sexo",0,0.582,0.0893,0.0972,0.829,0.737,0.701
"53","2012 Campaign Playlist","Home","2D8DndKgZnoEi3msVsWNdG","Dierks Bentley","Home",0.0406,0.486,0.0793,0.0373,0.706,0.612,0.434
"54","2012 Campaign Playlist","You Are the Best Thing","0ocSSXx38j2MwPEvCo8wFN","Ray LaMontagne","You Are the Best Thing",2.54e-05,0.032,0.261,0.033,0.723,0.574,0.857
