"","playlist_name","track_name","track_uri","artist_name","album_name","instrumentalness","acousticness","liveness","speechiness","energy","danceability","valence"
"1","PM Mix","Braided Hair","43ievcG8mUfVBVn5OJkTrC","Speech","1 Giant Leap",0,0.135,0.629,0.0966,0.68,0.712,0.527
"2","PM Mix","Lost Together","3QMx2xsw0XPrAtCqKcpHPt","Blue Rodeo","Greatest Hits Vol. 1",0.000895,0.00269,0.0926,0.0255,0.537,0.505,0.277
"3","PM Mix","Signs","5EnYT6F7wEcdege6mDHEfO","Drake","Signs",0.00406,0.0864,0.112,0.0606,0.727,0.801,0.218
"4","PM Mix","29 Palms","5hrsqusQlSqlWpvtjJpxPq","Robert Plant","Fate Of Nations",0.000123,0.0893,0.127,0.0256,0.677,0.655,0.786
"5","PM Mix","Dirty Paws","1hxq7kWQnwdhxgpEugBMGk","Of Monsters and Men","My Head Is An Animal",0.0269,0.128,0.0552,0.0349,0.663,0.367,0.177
"6","PM Mix","Comme des enfants","3fASYeWAmZv32ALSKZePtj","C<U+0153>ur De Pirate","Comme des enfants (Version originale et remix par Le Matos)",0.00558,0.838,0.103,0.0427,0.366,0.483,0.267
"7","PM Mix","Rant & Roar","5jiapNlikKcHryRJ7Dm1On","Great Big Sea","Up",0,0.655,0.172,0.0401,0.391,0.395,0.647
"8","PM Mix","After the Gold Rush","2tlYXcTPCg8FyzwAz4M3p1","k.d. lang","Hymns of the 49th Parallel",0.000145,0.658,0.109,0.0297,0.293,0.257,0.229
"9","PM Mix","There's Nothing Holdin' Me Back","79cuOz3SPQTuFrp8WgftAu","Shawn Mendes","Illuminate (Deluxe)",0,0.381,0.0913,0.0583,0.8,0.857,0.966
"10","PM Mix","Matchbox","79RqshwAjtOeWMH0YOlol2","Adam Cohen","Like A Man",0.0048,0.838,0.111,0.0373,0.163,0.63,0.54
"11","PM Mix","Paper Bag","0IVkP59yJ9GFF6B7IrvrxA","Fiona Apple","When The Pawn...",2.29e-05,0.714,0.11,0.0366,0.446,0.715,0.845
"12","PM Mix","Misguided Angel","09tSuepbFpD5W19TubREJJ","Cowboy Junkies","Best Of Cowboy Junkies",6.6e-06,0.455,0.144,0.0358,0.266,0.451,0.18
"13","PM Mix","Crabbuckit","5ONb0fTAqTygOmGfLHqi28","K-OS","Collected",0.00969,0.0177,0.437,0.247,0.687,0.655,0.726
"14","PM Mix","Peyote Healing","6l6bagBLG3h1XvfnKUjAyC","Robbie Robertson","Contact From The Underworld Of Redboy",5.43e-05,0.944,0.11,0.0575,0.19,0.328,0.104
"15","PM Mix","Everybody Hurts","6PypGyiu0Y2lCDBN1XZEnP","R.E.M.","Automatic For The People",0.0221,0.609,0.114,0.0243,0.334,0.491,0.19
"16","PM Mix","Confessions","6K5RXVQoHiBTVPqGy2v6Fw","Quake Matthews","Confessions",0.000139,0.201,0.12,0.127,0.653,0.394,0.178
"17","PM Mix","Romeo And Juliet","0PNt5WTw092eED0ru9SuIp","Dire Straits","Making Movies",0.0273,0.547,0.144,0.03,0.444,0.603,0.5
"18","PM Mix","Lost Boy","0zMzyHAeMvwq5CRstru1Fp","Ruth B.","Safe Haven",0,0.963,0.0858,0.0496,0.128,0.586,0.371
"19","PM Mix","The Man Who Can't Be Moved","4AFwnrH5atiJoAd5xS5QtR","The Script","The Script",0,0.437,0.097,0.0279,0.629,0.605,0.308
"20","PM Mix","Wheat Kings","6s7xf54h0BGyohJHlgMj2J","The Tragically Hip","Yer Favourites",0,0.411,0.101,0.0281,0.439,0.62,0.331
"21","PM Mix","The Book Of Love","5ufkhTglJSRjcxgBWE55xk","Peter Gabriel","The Book Of Love (A Side) / Washing Of The Water (B Side) [Digital 45]",4.79e-05,0.833,0.101,0.0335,0.164,0.158,0.178
"22","PM Mix","Hometown Kids","2UZFsGsNiDp6xd6zQ8vqlW","The Reklaws","Hometown Kids",0,0.000179,0.251,0.0339,0.79,0.58,0.795
"23","PM Mix","Nothing Ever Happens","6SheHu5m33TpnVxlZumHeS","Del Amitri","Waking Hours",0,0.371,0.136,0.0332,0.415,0.481,0.551
"24","PM Mix","Song for a Winter's Night","5Dwz5UwKjkK03hWQVAYLnQ","Sarah McLachlan","Wintersong",2.66e-06,0.576,0.104,0.0338,0.243,0.34,0.202
"25","PM Mix","Mad World","635zyd4KvNEWp3FrPjd86n","Michael Andrews","Just Like That",0,0.929,0.0855,0.0426,0.124,0.585,0.24
"26","PM Mix","Mad World (Feat. Michael Andrews)","3JOVTQ5h8HGFnDdp4VT3MP","Gary Jules","Trading Snakeoil for Wolftickets",0.000366,0.976,0.103,0.0374,0.0581,0.345,0.304
"27","PM Mix","Despacito - Remix","5CtI0qwDJkDQGwXD1H1cLb","Luis Fonsi","Despacito Feat. Justin Bieber (Remix)",0,0.229,0.0924,0.12,0.815,0.694,0.813
"28","PM Mix","No Myth","4SZozsPsG0vJ2Ti8BGxKsR","Michael Penn","Palms & Runes, Tarot & Tea: A Michael Penn Collection",8.83e-05,0.054,0.34,0.0319,0.795,0.633,0.833
"29","PM Mix","Bow And Arrow","7FvbfYJjjWzvF53mqHVULa","Pink","Funeral Sky",8.6e-05,0.813,0.094,0.0306,0.435,0.219,0.0984
"30","PM Mix","Just Give Me a Reason","4VC5nFbYO4avKksJ9jN4pY","P!nk","The Truth About Love",0.000302,0.346,0.132,0.0489,0.547,0.778,0.441
"31","PM Mix","Autumn's Here","4ie9OampAZGxVs1bi8CwxF","Hawksley Workman","Lover/Fighter [International Version (Explicit)]",0,0.0466,0.347,0.0278,0.534,0.506,0.215
"32","PM Mix","Scars To Your Beautiful","0prNGof3XqfTvNDxHonvdK","Alessia Cara","Know-It-All (Deluxe)",0,0.0294,0.11,0.139,0.741,0.591,0.452
"33","PM Mix","Au bord du Lac Bijou","2RCC1lK5AwdkO4HIeXOfbN","Zachary Richard","Cap Enrag<U+00E9>",0,0.784,0.114,0.03,0.216,0.536,0.333
"34","PM Mix","Hello","5AF9zlsZs76AlbLg9D2Bjf","Hedley","Hello (Deluxe)",0,0.00379,0.669,0.0304,0.835,0.574,0.287
"35","PM Mix","Circle","3ykCBUy37D9J4jHhQid7l1","Edie Brickell & New Bohemians","Shooting Rubberbands At The Stars",1.24e-05,0.506,0.144,0.0369,0.312,0.614,0.395
